,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,port augusta,-32.5,137.7667,44.74,80,14,6.76,AU,1627165879
352,yarada,17.65,83.2667,82.72,94,40,4.61,IN,1627165880
353,basco,20.4487,121.9702,82.89,86,91,32.3,PH,1627165880
354,coruripe,-10.1256,-36.1756,73.38,79,0,13.13,BR,1627165880
355,umba,66.6871,34.3429,53.64,79,100,12.66,RU,1627165880
356,kongolo,-5.3833,27.0,74.86,36,18,3.62,CD,1627165881
357,jalu,29.0331,21.5482,78.28,58,0,12.73,LY,1627165881
358,warwick,41.7001,-71.4162,80.02,63,75,10.36,US,1627165714
359,barcelos,41.5388,-8.6151,63.91,95,71,1.95,PT,1627165881
360,okhotsk,59.3833,143.3,55.94,94,100,12.46,RU,1627165882
361,boguchany,58.3814,97.4531,65.17,71,1,3.27,RU,1627165882
362,souillac,-20.5167,57.5167,70.18,83,40,11.5,MU,1627165882
363,beziers,43.3476,3.219,78.08,56,0,8.05,FR,1627165883
364,udalguri,26.7667,92.1333,79.32,89,100,1.59,IN,1627165884
365,springbok,-29.6643,17.8865,48.31,16,20,11.54,ZA,1627165884
366,aripuana,-9.1667,-60.6333,80.69,44,41,1.68,BR,1627165885
